"Utc","ProcessId","Protocol","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"2026-09-09T20:32:22.6902296Z","18052","TCP","172.18.0.1","49485","131.191.12.115","443","FinWait2"
"2026-09-09T20:32:22.6902296Z","18052","TCP","172.18.0.1","49484","72.46.136.10","443","Established"
"2026-09-09T20:32:22.6902296Z","18052","TCP","172.18.0.1","49483","72.223.69.27","443","Established"
"2026-09-09T20:32:22.6902296Z","18052","TCP","172.18.0.1","49482","75.18.225.77","443","Established"
"2026-09-09T20:32:22.6902296Z","18052","TCP","172.18.0.1","49474","76.164.225.122","20499","Established"
"2026-09-09T20:32:22.6902296Z","18052","TCP","172.18.0.1","49473","70.187.180.179","59428","Established"
"2026-09-09T20:32:22.6902296Z","18052","TCP","172.18.0.1","49472","165.124.111.187","54423","Established"
"2026-09-09T20:32:22.6902296Z","18052","TCP","172.18.0.1","49471","131.191.12.115","64767","Established"
"2026-09-09T20:32:22.6902296Z","18052","TCP","172.18.0.1","49470","72.46.136.10","3284","Established"
"2026-09-09T20:32:22.6902296Z","18052","TCP","172.18.0.1","49469","72.223.69.27","12434","Established"
"2026-09-09T20:32:22.6902296Z","18052","TCP","172.18.0.1","49468","75.18.225.77","1927","Established"
"2026-09-09T20:32:22.6902296Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:22.6902296Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:22.6902296Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:22.6902296Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49506","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49505","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49504","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49503","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49502","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49501","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49498","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49488","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49487","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49486","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49484","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49483","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49482","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49474","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49473","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49472","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49469","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","49468","0.0.0.0","0","Bound"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49506","76.164.225.122","80","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49505","70.187.180.179","80","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49504","165.124.111.187","80","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49503","72.46.136.10","80","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49502","72.223.69.27","80","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49501","75.18.225.77","80","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49498","131.191.12.115","80","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49488","76.164.225.122","443","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49487","70.187.180.179","443","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49486","165.124.111.187","443","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49484","72.46.136.10","443","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49483","72.223.69.27","443","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49482","75.18.225.77","443","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49474","76.164.225.122","20499","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49473","70.187.180.179","59428","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49472","165.124.111.187","54423","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49469","72.223.69.27","12434","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","172.18.0.1","49468","75.18.225.77","1927","Established"
"2026-09-09T20:32:23.8852341Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:23.8852341Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:23.8852341Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:23.8852341Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49506","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49505","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49504","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49503","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49502","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49501","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49498","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49488","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49487","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49486","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49483","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49482","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49474","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49473","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49472","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49469","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","49468","0.0.0.0","0","Bound"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49506","76.164.225.122","80","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49505","70.187.180.179","80","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49504","165.124.111.187","80","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49503","72.46.136.10","80","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49502","72.223.69.27","80","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49501","75.18.225.77","80","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49498","131.191.12.115","80","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49488","76.164.225.122","443","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49487","70.187.180.179","443","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49486","165.124.111.187","443","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49483","72.223.69.27","443","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49482","75.18.225.77","443","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49474","76.164.225.122","20499","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49473","70.187.180.179","59428","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49472","165.124.111.187","54423","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49469","72.223.69.27","12434","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","172.18.0.1","49468","75.18.225.77","1927","Established"
"2026-09-09T20:32:25.0609507Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:25.0609507Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:25.0609507Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:25.0609507Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49506","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49505","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49504","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49502","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49501","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49498","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49488","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49487","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49486","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49483","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49482","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49474","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49473","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49472","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49469","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","0.0.0.0","49468","0.0.0.0","0","Bound"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49506","76.164.225.122","80","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49505","70.187.180.179","80","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49504","165.124.111.187","80","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49502","72.223.69.27","80","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49501","75.18.225.77","80","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49498","131.191.12.115","80","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49488","76.164.225.122","443","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49487","70.187.180.179","443","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49486","165.124.111.187","443","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49483","72.223.69.27","443","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49482","75.18.225.77","443","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49474","76.164.225.122","20499","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49473","70.187.180.179","59428","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49472","165.124.111.187","54423","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49469","72.223.69.27","12434","Established"
"2026-09-09T20:32:26.3403667Z","18052","TCP","172.18.0.1","49468","75.18.225.77","1927","Established"
